St;PROVPUNKT_Original;St_Original;Datum;Temperatur;Siktdjup_m;Klorofyll_µg_l;pH;Alkalinitet_mekv_l;Syrgashalt_mg_l;Syrem;Nitrigen;fosfor;Övervakningsstation;Stationskoordina_N_X;Stationskoordina_E_Y;Year;year_month
469;;469;2013-08-14;20.3;1.3;43;7.8;0.6;9;100;520;35;Växjösjön mitt;56.867805;14.81321;2013;Aug-13
469;;469;2013-09-03;17.8;1;38;8;0.6;10;110;530;44;Växjösjön mitt;56.867805;14.81321;2013;Sep-13
469;;469;2013-10-02;11.5;1;28;7.7;0.5;10;90;450;37;Växjösjön mitt;56.867805;14.81321;2013;Oct-13
469;469  Växjösjön botten                                  ;469;2013-05-15;10.3;;;7.2;0.6;5;50;590;28;Växjösjön mitt;56.867805;14.81321;2013;May-13
469;;469;2013-06-04;14.5;;;7.1;0.6;1;12;630;68;Växjösjön mitt;56.867805;14.81321;2013;Jun-13
469;;469;2013-07-03;16.1;;;7.3;0.6;0;2;500;70;Växjösjön mitt;56.867805;14.81321;2013;Jul-13
469;;469;2013-08-14;16.9;;;7.3;0.8;0;4;1100;170;Växjösjön mitt;56.867805;14.81321;2013;Aug-13
469;;469;2013-09-03;16.6;;;7.7;0.6;9;90;2800;39;Växjösjön mitt;56.867805;14.81321;2013;Sep-13
469;;469;2013-10-02;10.8;;;7.6;0.6;10;93;450;43;Växjösjön mitt;56.867805;14.81321;2013;Oct-13
430B;430b Växjösjöns utlopp;430B;2014-01-13;1.8;;;7.4;0.45;12;90;690;22;Växjösjön utlopp;56.864825;14.802238;2014;Jan-14
430B;ny punkt;430B;2014-03-11;5.4;;;7.5;0.48;12.6;106;720;20;Växjösjön utlopp;56.864825;14.802238;2014;Mar-14
430B;;430B;2014-05-05;14.6;;;7.5;0.47;10;97;430;15;Växjösjön utlopp;56.864825;14.802238;2014;May-14
